0,0,2503,4968,-1,-1,-1,-1,-1,-1
1,0.163538,2494,4950,-1,-1,-1,-1,-1,-1
2,0.434253,5401,29365,-1,-1,-1,-1,-1,-1
3,0.537545,5401,29365,-1,-1,-1,-1,-1,-1
4,0.082699,7432,32318,-1,-1,-1,-1,-1,-1
5,0.524038,11897,59435,-1,-1,-1,-1,-1,-1
6,0.02261,11897,59435,0.000103647,0.426858,3.14088,2.27312,6369.4,26.8156
8,0.471263,4970,27331,0.00101659,0.576286,3.13883,2.01977,351.4,6.74263
7,0.047722,16259,84887,0.00101659,0.634839,3.13883,1.97152,351.4,5.51915
8,0.343687,7036,38597,0.00101659,0.618434,3.13883,1.9678,351.4,5.78311
9,0.166597,7036,37289,0.00772847,0.651804,3.12468,1.89906,151.494,5.08977
10,0.199553,7036,37289,0.0105799,0.683448,3.12468,1.89268,76.7431,4.67718
7,0.035318,11212,55293,0.0105799,0.699206,3.12468,1.88701,76.7431,4.55327
8,0.240611,7351,38606,0.0105799,0.696435,3.12468,1.87949,76.7431,4.57888
9,0.145086,7351,38557,0.0105799,0.7009,3.12468,1.86883,76.7431,4.51679
10,0.183506,7351,38557,0.0105799,0.721524,3.12468,1.85087,76.7431,4.39617
7,0.026716,9991,49273,0.0105799,0.726258,3.12468,1.8513,76.7431,4.35345
8,0.199628,7481,39137,0.0105799,0.722449,3.12468,1.84993,76.7431,4.38096
9,0.122959,7481,39163,0.0105799,0.724074,3.12468,1.84506,76.7431,4.36062
10,0.172444,7481,39163,0.0105799,0.736114,3.12468,1.8336,76.7431,4.30283
11,0.007772,-1,-1,-1,-1,-1,-1,-1,-1
7,0.046787,15819,79976,0.0105799,0.716803,3.11118,1.8595,66.3393,4.40552
8,0.310511,9649,51290,0.0232694,0.740731,3.10225,1.83157,36.2131,4.14691
9,0.185973,9649,51332,0.0233827,0.745484,3.09233,1.81836,34.4702,4.08406
10,0.231432,9649,51332,0.0276183,0.77277,3.09233,1.79026,32.09,3.94917
7,0.039395,12839,64903,0.0276183,0.766477,3.09233,1.79993,32.09,3.99936
8,0.221021,9601,51106,0.0276183,0.770714,3.09233,1.79102,32.09,3.95155
9,0.180877,9601,51170,0.0276183,0.771166,3.09233,1.78778,32.09,3.93688
10,0.2184,9601,51170,0.0276183,0.78494,3.09233,1.77161,30.8725,3.87632
7,0.032834,12062,61073,0.0276183,0.778584,3.09233,1.78108,30.8725,3.92201
8,0.196061,9589,51103,0.0276183,0.783139,3.09233,1.77319,30.8725,3.88188
9,0.187255,9589,51147,0.0315631,0.783049,3.05959,1.77192,30.8725,3.8743
10,0.209687,9589,51147,0.0315902,0.790262,3.05959,1.76296,30.2165,3.84309
7,0.03228,11692,59326,0.0315902,0.783954,3.05959,1.77208,30.2165,3.88574
8,0.174381,9558,51017,0.0315902,0.789112,3.05959,1.76497,30.2165,3.84817
9,0.167639,9558,51020,0.0315902,0.789346,3.05959,1.76382,30.2165,3.844
10,0.198863,9558,51020,0.0325506,0.793829,3.05959,1.75837,29.7333,3.8258
7,0.030766,11546,58648,0.0325506,0.787355,3.05959,1.76783,29.7333,3.86777
8,0.201372,9608,51235,0.0325506,0.792849,3.07912,1.7602,29.4243,3.82928
9,0.167059,9608,51247,0.039574,0.792828,3.05959,1.75989,25.7037,3.82735
10,0.18579,9608,51247,0.0395206,0.795451,3.05959,1.75645,25.7037,3.81627
7,0.028744,11394,57949,0.0395206,0.789462,3.05959,1.76486,25.7037,3.85436
8,0.169036,9595,51186,0.0395206,0.795132,3.05959,1.75735,25.7037,3.81923
9,0.169254,9595,51206,0.0395206,0.794943,3.05959,1.75719,25.7037,3.81879
10,0.180373,9595,51206,0.0397913,0.796967,3.05959,1.75456,25.7037,3.81045
11,0.011082,-1,-1,-1,-1,-1,-1,-1,-1
7,0.043556,15376,78483,0.0333715,0.759154,3.07292,1.80561,29.0786,4.10489
8,0.300558,11032,59062,0.04454,0.785418,3.06268,1.77051,24.4053,3.86676
9,0.205485,11032,59139,0.04454,0.786763,3.06268,1.76596,24.27,3.84198
10,0.244897,11032,59139,0.0460103,0.800593,3.05503,1.75211,24.27,3.76727
7,0.040716,13768,70511,0.0357448,0.78798,3.05503,1.76975,25.523,3.86713
